FACILITY NAME,CITY,ST,LATITUDE,LONGITUDE,PARENT CO NAME,INDUSTRY SECTOR,CHEMICAL,ELEMENTAL METAL INCLUDED,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,CARCINOGEN,PBT,PFAS,TOTAL POLLUTION
HUBBARD FEEDS INC.,APPLETON,WI,44.3164,-88.374856,ALLTECH INC,Food,Manganese compounds,NO,YES,TRI,NO,NO,NO,0.0
HUGHES BROTHERS INC,SEWARD,NE,40.908913,-97.107061,,Wood Products,Lead,NO,NO,PBT,YES,YES,NO,1.06
KRATON CORP,BELPRE,OH,39.281072,-81.637901,KRATON CHEMICAL CO LLC,Chemicals,Dioxin and dioxin-like compounds,NO,YES,Dioxin,YES,YES,NO,0.0042769628
"MERITOR HEAVY VEHICLE BRAKING SYSTEMS (U.S.A.), INC.",CARROLLTON,KY,38.679326,-85.203297,ARVINMERITOR INC,Primary Metals,Certain glycol ethers,NO,YES,TRI,NO,NO,NO,109001.22
DUCK CREEK POWER STATION,CANTON,IL,40.46624,-89.98243,VISTRA ENERGY CORP.,Electric Utilities,Mercury compounds,NO,YES,PBT,NO,YES,NO,824.7
COASTAL LUMBER CO WELDON SAWMILL,WELDON,NC,36.404183,-77.609683,COASTAL LUMBER CO,Wood Products,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,YES,TRI,NO,NO,NO,0.0
PAR MONTANA BILLINGS REFINERY,BILLINGS,MT,45.809167,-108.438889,PAR PACIFIC HOLDINGS INC,Petroleum,Hydrogen cyanide,NO,YES,TRI,NO,NO,NO,222651.07
ANDERSONS INC,SEYMOUR,IN,38.9625,-85.8625,THE ANDERSONS INC,Chemicals,Ammonia,NO,NO,TRI,NO,NO,NO,0.0
CHAPARRAL (VA) INC,PETERSBURG,VA,37.179254,-77.447487,GERDAU GROUP,Primary Metals,Zinc compounds,NO,NO,TRI,NO,NO,NO,25909599.1
EASTMAN CHEMICAL CO TEXAS OPERATIONS,LONGVIEW,TX,32.438056,-94.69,EASTMAN CHEMICAL CO,Chemicals,Ethylene,NO,NO,TRI,NO,NO,NO,49240001.03
NYPRO PUERTO RICO INC,CAYEY,PR,18.112817,-66.163415,,Plastics and Rubber,Styrene,NO,YES,TRI,YES,NO,NO,67050.9
